contextType,reference,additionalContext,verse,question,answer,grammaticality,acceptability
Epistles,Titus 1:6,"For this reason I left you in Crete, that you should set in order the things that are lacking, and appoint elders in every city as I commanded you-- if a man is blameless, the husband of one wife, having faithful children not accused of dissipation or insubordination. For a bishop must be blameless, as a steward of God, not self-willed, not quick-tempered, not given to wine, not violent, not greedy for money,","if a man is blameless, the husband of one wife, having faithful children not accused of dissipation or insubordination.","(2pts) According to Titus 1:6, what two things should the faithful children of a bishop not be accused of?",(1) dissipation (2) insubordination,5,4
Epistles,2 Corinthians 9:7,"But this I say: He who sows sparingly will also reap sparingly, and he who sows bountifully will also reap bountifully. So let each one give as he purposes in his heart, not grudgingly or of necessity; for God loves a cheerful giver. And God is able to make all grace abound toward you, that you, always having all sufficiency in all things, may have an abundance for every good work.","So let each one give as he purposes in his heart, not grudgingly or of necessity; for God loves a cheerful giver.","(1pt) According to 2 Corinthians 9:7, each one is to give as he purposes where?",in his heart,5,5
Epistles,2 Corinthians 9:7,"But this I say: He who sows sparingly will also reap sparingly, and he who sows bountifully will also reap bountifully. So let each one give as he purposes in his heart, not grudgingly or of necessity; for God loves a cheerful giver. And God is able to make all grace abound toward you, that you, always having all sufficiency in all things, may have an abundance for every good work.","So let each one give as he purposes in his heart, not grudgingly or of necessity; for God loves a cheerful giver.","(1pt) According to 2 Corinthians 9:7, how is each one to give?","as he purposes in his heart, not grudgingly or of necessity",5,4
Epistles,2 Corinthians 9:7,"But this I say: He who sows sparingly will also reap sparingly, and he who sows bountifully will also reap bountifully. So let each one give as he purposes in his heart, not grudgingly or of necessity; for God loves a cheerful giver. And God is able to make all grace abound toward you, that you, always having all sufficiency in all things, may have an abundance for every good work.","So let each one give as he purposes in his heart, not grudgingly or of necessity; for God loves a cheerful giver.","(2pts) According to 2 Corinthians 9:7, Paul says that each one should give as he purposes in his heart, not how?",(1) grudgingly or (2) of necessity,5,5
Epistles,2 Corinthians 9:7,"But this I say: He who sows sparingly will also reap sparingly, and he who sows bountifully will also reap bountifully. So let each one give as he purposes in his heart, not grudgingly or of necessity; for God loves a cheerful giver. And God is able to make all grace abound toward you, that you, always having all sufficiency in all things, may have an abundance for every good work.","So let each one give as he purposes in his heart, not grudgingly or of necessity; for God loves a cheerful giver.","(1pt) According to 2 Corinthians 9:7, who loves a cheerful giver?",God,5,5
Epistles,2 Corinthians 9:7,"But this I say: He who sows sparingly will also reap sparingly, and he who sows bountifully will also reap bountifully. So let each one give as he purposes in his heart, not grudgingly or of necessity; for God loves a cheerful giver. And God is able to make all grace abound toward you, that you, always having all sufficiency in all things, may have an abundance for every good work.","So let each one give as he purposes in his heart, not grudgingly or of necessity; for God loves a cheerful giver.","(1pt) According to 2 Corinthians 9:7, God loves a giver who gives what?",cheerful,5,4
Epistles,2 Corinthians 9:7,"But this I say: He who sows sparingly will also reap sparingly, and he who sows bountifully will also reap bountifully. So let each one give as he purposes in his heart, not grudgingly or of necessity; for God loves a cheerful giver. And God is able to make all grace abound toward you, that you, always having all sufficiency in all things, may have an abundance for every good work.","So let each one give as he purposes in his heart, not grudgingly or of necessity; for God loves a cheerful giver.","(1pt) According to 2 Corinthians 9:7, how does God love a giver?","a cheerful giver, not grudgingly or of necessity",3,4
Epistles,2 Corinthians 9:7,"But this I say: He who sows sparingly will also reap sparingly, and he who sows bountifully will also reap bountifully. So let each one give as he purposes in his heart, not grudgingly or of necessity; for God loves a cheerful giver. And God is able to make all grace abound toward you, that you, always having all sufficiency in all things, may have an abundance for every good work.","So let each one give as he purposes in his heart, not grudgingly or of necessity; for God loves a cheerful giver.","(1pt) According to 2 Corinthians 9:7, how should each one give?",give as he purposes in his heart,5,5
Epistles,2 Corinthians 9:7,"But this I say: He who sows sparingly will also reap sparingly, and he who sows bountifully will also reap bountifully. So let each one give as he purposes in his heart, not grudgingly or of necessity; for God loves a cheerful giver. And God is able to make all grace abound toward you, that you, always having all sufficiency in all things, may have an abundance for every good work.","So let each one give as he purposes in his heart, not grudgingly or of necessity; for God loves a cheerful giver.","(1pt) According to 2 Corinthians 9:7, what does God love?",a cheerful giver,5,5
Epistles,2 Corinthians 9:7,"But this I say: He who sows sparingly will also reap sparingly, and he who sows bountifully will also reap bountifully. So let each one give as he purposes in his heart, not grudgingly or of necessity; for God loves a cheerful giver. And God is able to make all grace abound toward you, that you, always having all sufficiency in all things, may have an abundance for every good work.","So let each one give as he purposes in his heart, not grudgingly or of necessity; for God loves a cheerful giver.","(1pt) According to 2 Corinthians 9:7, how does God love a giver?",cheerfully,3,3
Epistles,2 Corinthians 9:7,"But this I say: He who sows sparingly will also reap sparingly, and he who sows bountifully will also reap bountifully. So let each one give as he purposes in his heart, not grudgingly or of necessity; for God loves a cheerful giver. And God is able to make all grace abound toward you, that you, always having all sufficiency in all things, may have an abundance for every good work.","So let each one give as he purposes in his heart, not grudgingly or of necessity; for God loves a cheerful giver.","(1pt) According to 2 Corinthians 9:7, who is to give as he purposes in his heart?",each one,5,5
