contextType,reference,additionalContext,verse,question,answer,grammaticality,acceptability
Epistles,1 Peter 4:3,"that he no longer should live the rest of his time in the flesh for the lusts of men, but for the will of God. For we have spent enough of our past lifetime in doing the will of the Gentiles--when we walked in lewdness, lusts, drunkenness, revelries, drinking parties, and abominable idolatries. In regard to these, they think it strange that you do not run with them in the same flood of dissipation, speaking evil of you.","For we have spent enough of our past lifetime in doing the will of the Gentiles--when we walked in lewdness, lusts, drunkenness, revelries, drinking parties, and abominable idolatries.","(1pt) According to 1 Peter 4:3, how much time have we spent doing the will of the Gentiles?",our lifetime,5,4
Gospels,Luke 1:56,"As He spoke to our fathers, To Abraham and to his seed forever."" And Mary remained with her about three months, and returned to her house. Now Elizabeth's full time came for her to be delivered, and she brought forth a son.","And Mary remained with her about three months, and returned to her house.","(1pt) According to Luke 1:56, what did Mary do after visiting Elizabeth?",Remained with her mother about 3 months,5,4
Gospels,Luke 1:56,"As He spoke to our fathers, To Abraham and to his seed forever."" And Mary remained with her about three months, and returned to her house. Now Elizabeth's full time came for her to be delivered, and she brought forth a son.","And Mary remained with her about three months, and returned to her house.","(1pt) According to Luke 1:56, where did Mary remain for about three months?",With her mother,5,3
Gospels,Luke 1:56,"As He spoke to our fathers, To Abraham and to his seed forever."" And Mary remained with her about three months, and returned to her house. Now Elizabeth's full time came for her to be delivered, and she brought forth a son.","And Mary remained with her about three months, and returned to her house.","(1pt) According to Luke 1:56, how long did Mary remain with Elizabeth?",About 3 months,5,4
Gospels,Luke 1:56,"As He spoke to our fathers, To Abraham and to his seed forever."" And Mary remained with her about three months, and returned to her house. Now Elizabeth's full time came for her to be delivered, and she brought forth a son.","And Mary remained with her about three months, and returned to her house.","(1pt) According to Luke 1:56, after Mary remained with Elizabeth about three months, what did she do?",Mary returned to her house,5,4
Gospels,Luke 1:56,"As He spoke to our fathers, To Abraham and to his seed forever."" And Mary remained with her about three months, and returned to her house. Now Elizabeth's full time came for her to be delivered, and she brought forth a son.","And Mary remained with her about three months, and returned to her house.","(1pt) According to Luke 1:56, where did Mary return to?",Mary's house,5,4
Gospels,Luke 1:56,"As He spoke to our fathers, To Abraham and to his seed forever."" And Mary remained with her about three months, and returned to her house. Now Elizabeth's full time came for her to be delivered, and she brought forth a son.","And Mary remained with her about three months, and returned to her house.","(1pt) According to Luke 1:56, whose full time came for her to be delivered?",Mary's,4,3
Gospels,Luke 1:56,"As He spoke to our fathers, To Abraham and to his seed forever."" And Mary remained with her about three months, and returned to her house. Now Elizabeth's full time came for her to be delivered, and she brought forth a son.","And Mary remained with her about three months, and returned to her house.","(1pt) According to Luke 1:56, what did Mary do after Elizabeth called her blessed?","Mary remained with her mother about 3 months, and returned to her house",5,3
Gospels,Luke 1:56,"As He spoke to our fathers, To Abraham and to his seed forever."" And Mary remained with her about three months, and returned to her house. Now Elizabeth's full time came for her to be delivered, and she brought forth a son.","And Mary remained with her about three months, and returned to her house.","(1pt) According to Luke 1:56, where did Mary return to?",Her mother's house,5,4
Gospels,Luke 1:56,"As He spoke to our fathers, To Abraham and to his seed forever."" And Mary remained with her about three months, and returned to her house. Now Elizabeth's full time came for her to be delivered, and she brought forth a son.","And Mary remained with her about three months, and returned to her house.","(1pt) According to Luke 1:56, who remained with Elizabeth for about three months?",Mary,5,4
