book,chapter,verse,endVerse,question,answer,points,source,quality,2To3,bigPoints,people,places,names,numbers
1 Kings,2,21,22,"when Bathsheba asked Solomon to give Abishag to Adonyah, what else did Solomon say she Should ask for on Adonijah's behalf?",The kingdom,1,Ki Song,3,False,False,False,False,False,False
1 Kings,22,26,26,the king of Israel instructed to return Micaiah to whom? Give the name and position of each person.,(1) mon (2) governor of the city (3) Joash (4) the king's son,4,Ki Song,3,False,True,False,False,False,False
1 Kings,3,28,28,"after hearing the judgment of the two women and the baby, why did the people fear the king?",They saw that the wisdom of God was in him to administer justice,1,Ki Song,3,False,False,False,False,False,False
1 Kings,22,8,8,what prophet did the king of Israel tell Jehoshaphat he hated and why did he hate him?,(1) Micaiah (2) does not prophesy good concerning the king,2,Ki Song,3,True,False,False,False,False,False
1 Kings,4,7,7,what did each of Solomon's governors do for one month of the year?,Provide food  for the king and his household,1,Ki Song,3,False,False,False,False,False,False
1 Kings,4,3,3,what two sons of Shisha were Solomon's scribes?,Elihoreph and Ahiyah,1,Ki Song,3,False,False,False,False,False,False
1 Kings,6,20,20,"what was used to overlay the inner sanctuary of the temple, including the altar of cedar?",Pure Gold,1,Ki Song,3,False,False,False,False,False,False
Ruth,3,10,10,Boaz asked for a blessing on Ruth for showing more kindness at the end than at the beginning in that she did not go after what kind of young men?,Poor or Rich,1,Ki Song,3,False,False,False,False,False,False
1 Kings,8,11,11,"Bringing the ark to the temple, what appeared as a cloud after the priests departed the holy place and caused them not to be able to minister?",'The glory of the Lord,1,Ki Song,3,False,False,False,False,False,False
1 Kings,7,1,1,how long did it take to build Solomon's house?,13 years,1,Ki Song,3,False,False,False,False,False,False
1 Kings,13,29,29,the prophet took up the corpse of the man of God. He came to the city to do what two id apbelcacts,Mourn and bury him,1,Ki Song,3,False,False,False,False,False,False
1 Kings,13,6,6,what did King Jeroboam ask the man of God to entreat the Lord and pray for?,That his hand be restored to him,1,Ki Song,3,False,False,False,False,False,False
1 Kings,18,16,16,"when Obadiah told Ahab about meeting Elijah and told him what Elijah said, what did Ahab Coys",Went to meet Elijah,1,Ki Song,3,False,False,False,False,False,False
1 Kings,7,21,21,what were the names of the two pillars by the vestibule of the temple?,Jachin and Boaz,1,Ki Song,3,False,False,False,False,False,False
1 Kings,17,7,7,"why did the brook where Elijah had been staying, dry up?",Norain in the land,1,Ki Song,3,False,False,False,False,False,False
1 Kings,17,22,22,what two things happened to the dead son when the Lord heard the voice of Elijah?,The child's soul came back to him. He revived,1,Ki Song,3,False,False,False,False,False,False
1 Kings,19,21,21,"before following Elijah, what did Elisha do with a yoke of oxen?",(1) Slaughtered the oxen (2) boiled their flesh (3) gave it to the people,3,Ki Song,3,True,False,False,False,False,False
1 Kings,11,2,2,why did God tell the children of Israel not to intermarry with foreign women?,They would turn away their hearts after their gods,1,Ki Song,3,False,False,False,False,False,False
1 Kings,1,7,7,"after deciding he wanted to be king, who did Adonyah confer with?",Joab and Abiathar,1,Ki Song,3,False,False,False,False,False,False
1 Kings,22,48,48,"what kind of ships did Jehoshaphat make, to go where and for what cargo?",(1) Merchant ships (2) to Ophir (3) for gold,3,Ki Song,3,True,False,False,False,False,False
1 Kings,15,22,22,"after King Asa made a proclamation throughout all Judah, what was taken away from Ramah which Baasha had used for building?",Stones and timber,1,Ki Song,3,False,False,False,False,False,False
1 Kings,20,22,22,when did the prophet tell the king of Israel the king of Syria would come up against him?,In the spring of the year,1,Ki Song,3,False,False,False,False,False,False
Ruth,3,2,2,what did Naomi tell Ruth Boaz was doing that night at the threshing floor?,Winnowing barley,1,Ki Song,3,False,False,False,False,False,False
Ruth,4,6,6,what reason did the close relative give for not redeeming the field belonging to Naomi?,Would ruin his own inheritance,1,Ki Song,3,False,False,False,False,False,False
1 Kings,11,29,29,"Give the full identification of the prophet who met Solomon's servant, Jeroboam? Be sj oe baton",hyah the Shilonite,1,Ki Song,3,False,False,False,False,False,False
Ruth,2,3,3,Ruth gleaned in a field belonging to Boaz. From what ezDaebUAva e Kom elena,Family of Elimelech,1,Ki Song,3,False,False,False,False,False,False
1 Kings,1,49,49,how did the guests who were with Adonijah respond to the news of Solomon's anointing?,(1) 'They were afraid (2) they arose (3) and each one went his way,3,Ki Song,3,True,False,False,False,False,False
Ruth,3,6,6,"when Ruth went to the threshing floor, she did all as instructed by whom?",Mother-in-law,1,Ki Song,3,False,False,False,False,False,False
1 Kings,16,31,31,"after Ahab took Jezebel as his wife, what did Ahab do with Baal?",(1) Served him (2) worshiped him,2,Ki Song,3,True,False,False,False,False,False
1 Kings,12,22,24,"who was the man of God that told Rehoboam not to go up nor fight against his brethren, the children of Israel?",Shemaiah,1,Ki Song,3,False,False,False,False,False,False
1 Kings,2,42,42,what had Shimei been warned not to do?,'Travel anywhere,1,Ki Song,3,False,False,False,False,False,False
1 Kings,15,9,9,"who became king of Judah in the twentieth year of Jeroboam, king of Israel?",a,1,Ki Song,3,False,False,False,False,False,False
1 Kings,9,1,2,when did the Lord appear to Solomon the second abeeters,fter he finished building the house of the Lord and the king's house,1,Ki Song,3,False,False,False,False,False,False
1 Kings,20,41,41,"when the bandage was removed from the eyes of the prophet, who recognized him as one of the prophets?",King of Israel,1,Ki Song,3,False,False,False,False,False,False
1 Kings,21,23,23,"from Elijah, concerning Jezebel, what will the dogs do to her and where would they do it?",The dogs shall eat Jezebel by the wall of Jezreel,1,Ki Song,3,False,False,False,False,False,False
Ruth,1,11,11,what did Naomi ask her daughters to do?,Turn back,1,Ki Song,3,False,False,False,False,False,False
1 Kings,13,9,9,what was the man of God commanded by the word of the Lord to not do?,(1) Not eat bread (2) not drink water (3) not return the same way he came ,3,Ki Song,3,True,False,False,False,False,False
1 Kings,7,7,7,"what was Solomon's Hall of Judgment paneled with, from floor to ceiling?",Cedar,1,Ki Song,3,False,False,False,False,False,False
1 Kings,4,30,30,Solomon's wisdom excelled the wisdom of all the men from what two areas?,The East and Egypt,1,Ki Song,3,False,False,False,False,False,False
1 Kings,19,8,9,"after his journey to Horeb, where did Elijah go and spend the night?",cave,1,Ki Song,3,False,False,False,False,False,False
1 Kings,19,6,6,"after sleeping, then responding to the angel's instruction, what did Elijah find by his head?",cake and ajar of water,1,Ki Song,3,False,False,False,False,False,False
1 Kings,3,18,18,"in the judgment regarding the live and dead babies, how long after the birth of the first baby, was the second baby born?",'Three days,1,Ki Song,3,False,False,False,False,False,False
1 Kings,10,21,21,why were King Solomon's drinking vessels made of gold and not silver?,Silver was accounted as nothing in those days,1,Ki Song,3,False,False,False,False,False,False
1 Kings,14,20,20,how long did Jeroboam reign?,22 years,1,Ki Song,3,False,False,False,False,False,False
1 Kings,10,24,25,"All the earth sought the presence of Solomon. When men brought presents to Solomon, what did they bring?",(1) ticles of silver and gold (2) garments (3) armor (4) spices (5) horses (6) and mules,6,Ki Song,3,False,True,False,False,False,False
1 Kings,8,18,18,who had it in his heart to build a temple for the Lord?,David,1,Ki Song,3,False,False,False,False,False,False
1 Kings,18,7,7,"when Obadiah was looking for Elijah, Elijah met him. What did Obadiah do, then asking if he was indeed Elijah?",(1) Recognized him  (2) fell on his  face,2,Ki Song,3,True,False,False,False,False,False
1 Kings,6,34,34,"what kind of doors, using two panels on each of the two doors, were installed on the sanctuary?",Folding doors,1,Ki Song,3,False,False,False,False,False,False
1 Kings,1,12,13,why did the prophet Nathan counsel Bathsheba to go to King David?,To save her life and the life of Solomon,1,Ki Song,3,False,False,False,False,False,False
1 Kings,11,19,19,whom did Pharoah give Hadad as a wife?,"The sister of his  wife,",1,Ki Song,3,False,False,False,False,False,False
1 Kings,10,29,29,what did a chariot imported from Egypt cost?,600 shekels of silver,1,Ki Song,3,False,False,False,False,False,False
1 Kings,12,18,18,who was in charge of the revenue for Rehoboam?,doram,1,Ki Song,3,False,False,False,False,False,False
1 Kings,17,13,13,what did Elijah tell the widow woman to first do with the flour and oil she had on hand before making food for her and her son?,(1) Make him a small cake (2) bring it to him,2,Ki Song,3,True,False,False,False,False,False
1 Kings,16,11,11,"as soon as Elah was seated on the throne, he killed all the household of Baasha. Whom did he not leave?",(1) Not one male (2) neither of his  relatives nor friends,2,Ki Song,3,True,False,False,False,False,False
1 Kings,16,8,8,"Elah became king of Israel in what year of Asa, king of Judah?",Twenty-sixth year,1,Ki Song,3,False,False,False,False,False,False
1 Kings,5,11,11,what two items did Solomon give Hiram for his household?,Wheat and pressed oil,1,Ki Song,3,False,False,False,False,False,False
1 Kings,5,15,15,"what did Solomon have 70,000 people do?",Carry burdens,1,Ki Song,3,False,False,False,False,False,False
1 Kings,3,15,15,"when Solomon awoke from talking with God in a dream, what four things did he do when he came to Jerusalem?",(1) Stood before the ark of the Lord (2) offered up burnt offerings (3) offered peace offerings (4) and made a feast for all his servants,4,Ki Song,3,False,True,False,False,False,False
1 Kings,9,26,26,what did Solomon build at Ezion Geber?,fleet of ships,1,Ki Song,3,False,False,False,False,False,False
1 Kings,18,32,32,"after rebuilding the altar of the Lord, Elijah made a trench around the altar. What was that trench large enough to hold?",'Two seah's of seed,1,Ki Song,3,False,False,False,False,False,False
1 Kings,10,9,9,"the Queen of Sheba stated that because the Lord loved Israel forever, He had made Solomon king to do what two things?",Do justice and righteousness,1,Ki Song,3,False,False,False,False,False,False
1 Kings,14,27,27,"what did King Rehoboam make, committing them to the hands of the captain of the guard, who guarded the doorway of the king's house?",Bronze shields,1,Ki Song,3,False,False,False,False,False,False
1 Kings,14,3,3,"what was Jeroboam's wife instructed to take with her when she went to see the prophet, Pawar vets",(1) 'Ten loaves (2) some cakes (3) a Jar of honey,3,Ki Song,3,True,False,False,False,False,False
1 Kings,21,8,10,in the letters Jezebel sent to the elders and nobles what two things were the two scoundrels to accuse Naboth of?,Blaspheming God and the king,1,Ki Song,3,False,False,False,False,False,False
1 Kings,19,10,10,"after the Lord came to Elijah and asked what he was doing there, what did Elijah say he had been for the Lord God of hosts?",Very zealous,1,Ki Song,3,False,False,False,False,False,False
1 Kings,4,21,21,what were the borders of Solomon's kingdom?,(1) The River (2) to the land of the Philistines (3) the border of Egypt,3,Ki Song,3,True,False,False,False,False,False
1 Kings,2,16,17,what did Adonijah ask Bathsheba to request for him from Solomon?,bishag as his wife,1,Ki Song,3,False,False,False,False,False,False
1 Kings,20,26,26,where did Ben-Haddad and the Syrians go to fight against Israel?,phek,1,Ki Song,3,False,False,False,False,False,False
1 Kings,15,33,33,where did Baasha become king over all Israel and how long did he reign?,(1) 'Tirzah (2) reigned twenty-four years,2,Ki Song,3,True,False,False,False,False,False
Ruth,4,7,7,on what three occasions in Israel did a man take off his sandal and give it to the other party?,(1) When redeeming (2) exchanging or confirming anything,2,Ki Song,3,True,False,False,False,False,False
Ruth,1,1,1,"what specifically caused a certain man, his wife and two sons to go and dwell in the country of Moab?",Famine,1,Ki Song,3,False,False,False,False,False,False
1 Kings,21,3,3,"when declining Ahab's offer for his vineyard, what did Naboth say the Lord forbid him from giving to Ahab?",The inheritance of his fathers,1,Ki Song,3,False,False,False,False,False,False
Ruth,3,7,7,"at the threshing floor, Boaz went to lie down at the end of the heap of grain. Ruth came to him softly. What did she then do?",(1) Uncovered his feet (2) laid down,2,Ki Song,3,True,False,False,False,False,False
Ruth,2,21,21,Ruth told Naomi that Boaz told her to stay close to whom until they finished all his harvest? Be sj oe baer,His young men,1,Ki Song,3,False,False,False,False,False,False
1 Kings,7,45,46,"on the plain of Jordan the king had the articles made of bronze cast in clay molds, between what two cities?",Succoth and Zaretan,1,Ki Song,3,False,False,False,False,False,False
1 Kings,13,33,33,"from every class of people, whom did Jeroboam consecrate and make one of the priests of the high places?",Whoever wished,1,Ki Song,3,False,False,False,False,False,False
Ruth,1,15,15,Naomi told Ruth that her sister-in-law had gone. Where did she say she went?,Back to her people and to her gods,1,Ki Song,3,False,False,False,False,False,False
1 Kings,22,27,27,the king of Israel instructed that Micaiah was to be put in prison. What was to be done with him in prison until the king came in peace?,Feed him with the bread of affliction and water of affliction,1,Ki Song,3,False,False,False,False,False,False
1 Kings,6,7,7,where was the stone for the temple finished?,t the quarry,1,Ki Song,3,False,False,False,False,False,False
Ruth,1,19,19,"when Naomi and Ruth came to Bethlehem, how is the city's response described, with the women asking if this was Naomi?",Excited,1,Ki Song,3,False,False,False,False,False,False
1 Kings,13,28,28,"when the man of God's corpse was found on the road, what had the lion not done?",Had not eaten the corpse or torn the donkey,1,Ki Song,3,False,False,False,False,False,False
1 Kings,2,10,10,where was David buried?,In the City of David,1,Ki Song,3,False,False,False,False,False,False
1 Kings,8,37,37,"in his prayer of dedication, Solomon lists disasters that may come to the land. Name eight of those disasters.",(1) Famine (2) pestilence (3) blight (4) mildew (5) locusts (6) grasshoppers (7) besieged by an enemy (8) plague (9) or sickness,9,Ki Song,3,False,True,False,False,False,False
Judges,1,1,1,who had just died?,Joshua,1,AYMT,5,False,False,False,False,False,False
Judges,1,1,1,"after the death of Joshua, what did the children of Israel ask of the Lord?","Who shall be first to go up for us against the Canaanites, to fight against them?",1,AYMT,5,False,False,False,False,False,False
Judges,1,1,1,Israel asked the Lord who should be the first to go up to fight whom?,The Canaanites,1,AYMT,5,False,False,False,False,False,False
Judges,1,2,2,who did the Lord say was to go up to fight the Canaanites for Israel?,Judah,1,AYMT,5,False,False,False,False,False,False
Judges,1,2,2,what promise did the Lord give to Judah and Israel?,Indeed I have delivered the land into his hand,1,AYMT,5,False,False,False,False,False,False
Judges,1,3,3,who was Judah's brother?,Simeon,1,AYMT,5,False,False,False,False,False,False
Judges,1,3,3,"who said, ""Come up with me to my allotted territory, that we may fight against the Canaanites?""",Judah,1,AYMT,5,False,False,False,False,False,False
Judges,1,3,3,what agreement was made between Judah and his brother Simeon?,"(1) ""Come up with me to my allotted territory, that we may fight against the Canaanites (2) and I will likewise go with you to your allotted territory.""",2,AYMT,5,True,False,False,False,False,False
Judges,1,3,3,who went with Judah to fight the Canaanites?,Simeon,1,AYMT,5,False,False,False,False,False,False
Judges,1,4,4,who went up to fight?,Judah,1,AYMT,5,False,False,False,False,False,False
Judges,1,4,4,who did the Lord give to Judah?,(1) The Canaanites and (2) the Perizzites,2,AYMT,5,True,False,False,False,False,False
Judges,1,4,4,"where did Judah kill 10,000 men?",At Bezek,1,AYMT,5,False,False,False,False,False,False
Judges,1,5,5,who did Judah find at Bezek?,Adoni-Bezek,1,AYMT,5,False,False,False,False,False,False
Judges,1,5,5,who did Judah defeat?,(1) the Canaanites and (2) the Perizzites,2,AYMT,5,True,False,False,False,False,False
Judges,1,6,6,who fled before Judah?,Adoni-Bezek,1,AYMT,5,False,False,False,False,False,False
Judges,1,6,6,who pursued and caught Adoni-Bezek?,Judah,1,AYMT,5,False,False,False,False,False,False
Judges,1,6,6,what did Judah do with Adoni-Bezek after they caught him?,(1) cut off his thumbs and (2) big toes,2,AYMT,5,True,False,False,False,False,False
Judges,1,7,7,"who said, ""as I have done, so God has repaid me?""",Adoni-Bezek,1,AYMT,5,False,False,False,False,False,False
Judges,1,7,7,who did Judah bring to Jerusalem?,Adoni-Bezek,1,AYMT,5,False,False,False,False,False,False
Judges,1,7,7,where did Adoni-Bezek die?,in Jerusalem,1,AYMT,5,False,False,False,False,False,False
Judges,1,8,8,", what did Judah fight against and take?",Jerusalem,1,AYMT,5,False,False,False,False,False,False
Judges,1,8,8,what 2 things did the children of Judah do to Jerusalem?,(1) struck it with the edge of the sword; (2) burned it with fire,2,AYMT,5,True,False,False,False,False,False
Judges,1,9,9,"after the battle at Jerusalem, who went to fight against the Canaanites?",the children of Judah,1,AYMT,5,False,False,False,False,False,False
Judges,1,9,9,"after the battle of Jerusalem, who did the children of Judah fight against?",The Canaanites,1,AYMT,5,False,False,False,False,False,False
Judges,1,9,9,the children of Judah fought against the Canaanites who dwelt in what 3 places?,"(1) in the mountains, (2) in the South, and (3) in the lowland",3,AYMT,5,True,False,False,False,False,False
Judges,1,10,10,the children of Judah went against the Canaanites dwelling where?,In Hebron,1,AYMT,5,False,False,False,False,False,False
Judges,1,10,10,what was the former name for Hebron?,Kirjath Arba,1,AYMT,5,False,False,False,False,False,False
Judges,1,10,10,who did the children of Judah kill at Hebron?,"(1) Sheshai, (2) Ahiman, and (3) Talmai",3,AYMT,5,True,False,False,False,False,False
Judges,1,11,11,"after conquering Hebron, who did the children of Judah fight against?",The inhabitants of Debir,1,AYMT,5,False,False,False,False,False,False
Judges,1,11,11,what was the former name for Debir?,Kirjath Sepher,1,AYMT,5,False,False,False,False,False,False
Judges,1,12,12,"who said ""whoever attacks Kirjath Sepher and take it, to him I will give my daughter Achsah as wife?""",Caleb,1,AYMT,5,False,False,False,False,False,False
Judges,1,12,12,who was the daughter of Caleb?,Achsah,1,AYMT,5,False,False,False,False,False,False
Judges,1,12,12,who was the father of Achsah?,Caleb,1,AYMT,5,False,False,False,False,False,False
Judges,1,12,12,what did Caleb promise to the man who could attack and take Kirjath Sepher?,to him I will give my daughter Achsah as wife,1,AYMT,5,False,False,False,False,False,False
Judges,1,13,13,who was the son of Kenaz?,Othniel,1,AYMT,5,False,False,False,False,False,False
Judges,1,13,13,what relation was Othniel  to Caleb?,his younger brother,1,AYMT,5,False,False,False,False,False,False
Judges,1,13,13,what did Othniel take?,Kirjath Sepher,1,AYMT,5,False,False,False,False,False,False
Judges,1,13,13,what was the reward that Othniel received after he conquered Kirjath Sepher?,Caleb's daughter Achsah as his wife,1,AYMT,5,False,False,False,False,False,False
Judges,1,14,14,"who came to her husband, and urged him to ask Caleb for a field?",Achsah,1,AYMT,5,False,False,False,False,False,False
Judges,1,14,14,what did Achsah ride to see her father?,a donkey,1,AYMT,5,False,False,False,False,False,False
Judges,1,14,14,what did Achsah do before asking Caleb for a blessing?,dismounted from her donkey,1,AYMT,5,False,False,False,False,False,False
Judges,1,15,15,what did Achsah ask of her father?,(1) a blessing (2) springs of water,2,AYMT,5,True,False,False,False,False,False
Judges,1,15,15,what did Achsah say her father had already given to her?,land in the South,1,AYMT,5,False,False,False,False,False,False
Judges,1,15,15,"what did Caleb give to his daughter, Achsah?",(1) the upper and (2) lower springs,2,AYMT,5,True,False,False,False,False,False
Judges,1,16,16,who was the Kenite?,Moses' father-in-law,1,AYMT,5,False,False,False,False,False,False
Judges,1,16,16,"the children of the Kenite, went up with the children of who?",Judah,1,AYMT,5,False,False,False,False,False,False
Judges,1,16,16,"the children of the Kenite, went up with the children of Judah from where – to where?",(1) from the City of Palms (2) into the wilderness of Judah,2,AYMT,5,True,False,False,False,False,False
Judges,1,16,16,where did the Wilderness of Judah lie?,In the South near Arad,1,AYMT,5,False,False,False,False,False,False
Judges,1,16,16,"who dwelt in the Wilderness of Judah, and among whom did they dwell?",(1) the children of the Kenite  (2) the children of Judah,2,AYMT,5,True,False,False,False,False,False
Judges,1,17,17,who was the brother of Judah?,Simeon,1,AYMT,5,False,False,False,False,False,False
Judges,1,17,17,who did Judah and Simeon work together to attack and destroy?,The Canaanites who inhabited Zephath,1,AYMT,5,False,False,False,False,False,False
Judges,1,17,17,"where did the Canaanites dwell, who Judah and Simeon attacked?",Zephath,1,AYMT,5,False,False,False,False,False,False
Judges,1,17,17,"what city inhabited by Canaanites, did Judah and Simeon attack and utterly destroy?",Zephath,1,AYMT,5,False,False,False,False,False,False
Judges,1,17,17,what new name was given to the city of Zephath?,Hormah,1,AYMT,5,False,False,False,False,False,False
Judges,1,18,18,"in addition to the city of Zephath, what other cities with their surrounding areas did Judah take?","(1) Gaza with its territory, (2) Ashkelon with its territory, and (3) Ekron with its territory",3,AYMT,5,True,False,False,False,False,False
Judges,1,19,19,who was with Judah?,the Lord,1,AYMT,5,False,False,False,False,False,False
Judges,1,19,19,"the Lord was with Judah, so that they drove out whom?",the mountaineers,1,AYMT,5,False,False,False,False,False,False
Judges,1,19,19,who was Judah not able to drive out?,the inhabitants of the lowlands,1,AYMT,5,False,False,False,False,False,False
Judges,1,19,19,why was Judah not able to drive out the inhabitants of the lowlands?,they had chariots of iron,1,AYMT,5,False,False,False,False,False,False
Judges,1,20,20,what city was given to Caleb?,Hebron,1,AYMT,5,False,False,False,False,False,False
Judges,1,20,20,who had commanded that the city of Hebron be given to Caleb?,Moses,1,AYMT,5,False,False,False,False,False,False
Judges,1,20,20,"after receiving the city of Hebron, who did Caleb expel from it?",The 3 sons of Anak,1,AYMT,5,False,False,False,False,False,False
Judges,1,21,21,who inhabited Jerusalem?,the Jebusites,1,AYMT,5,False,False,False,False,False,False
Judges,1,21,21,who failed to drive out the Jebusites who dwelt in Jerusalem?,The children of Benjamin,1,AYMT,5,False,False,False,False,False,False
Judges,1,21,21,"at the time that the book of Judges was written, who dwelt among the children of Benjamin in Jerusalem?",the Jebusites,1,AYMT,5,False,False,False,False,False,False
Judges,1,22,22,who did the house of Joseph go up against?,Bethel,1,AYMT,5,False,False,False,False,False,False
Judges,1,22,22,who was with the house of Joseph?,The Lord,1,AYMT,5,False,False,False,False,False,False
Judges,1,23,23,who did the house of Joseph send out to spy out Bethel?,men,1,AYMT,5,False,False,False,False,False,False
Judges,1,23,23,what name was Bethel formerly known as?,Luz,1,AYMT,5,False,False,False,False,False,False
Judges,1,24,24,who did the spies see coming out of the city?,a man,1,AYMT,5,False,False,False,False,False,False
Judges,1,24,24,"who said, ""show us the entrance to the city and we will show you mercy""?",the spies,1,AYMT,5,False,False,False,False,False,False
Judges,1,24,24,what did the spies ask the man of Bethel?,"Please show us the entrance to the city, and we will show you mercy",1,AYMT,5,False,False,False,False,False,False
Judges,1,24,24,what did the spies promise the man of Bethel in return for showing them the entrance of the city?,They would show him mercy,1,AYMT,5,False,False,False,False,False,False
Judges,1,25,25,what did the man of Bethel do when the spies asked him to show them the entrance to the city?,Showed them the entrance,1,AYMT,5,False,False,False,False,False,False
Judges,1,25,25,what did the house of Joseph strike the city of Bethel with?,The edge of the sword,1,AYMT,5,False,False,False,False,False,False
Judges,1,25,25,"when the house of Joseph struck the city of Bethel with the edge of the sword, what did they do with the man who had showed them the entrance to the city?",Let the man and all his family go,1,AYMT,5,False,False,False,False,False,False
Judges,1,26,26,"after being shown mercy, where did the man and his family go?",To the land of the Hittites,1,AYMT,5,False,False,False,False,False,False
Judges,1,26,26,what did the man build in the land of the Hittites?,a city,1,AYMT,5,False,False,False,False,False,False
Judges,1,26,26,what was the name of the city the man from Bethel built?,Luz,1,AYMT,5,False,False,False,False,False,False
Judges,1,27,27,what did Manasseh not do to the inhabitants of the territory that he had been given for inheritance?,Did not drive them out,1,AYMT,5,False,False,False,False,False,False
Judges,1,27,27,"list the inhabitants that dwelt in the land that Manasseh inherited, who he did not drive out.","(1) the inhabitants of Beth Shean and its villages, (2) Taanach and its villages, (3) the inhabitants of Dor and its villages, (4) the inhabitants of Ibleam and its villages, and (5) the inhabitants of Megiddo and its villages",5,AYMT,5,False,True,False,False,False,False
Judges,1,27,27,who was determined to dwell in the land that the tribe of Manasseh inherited?,The Canaanites,1,AYMT,5,False,False,False,False,False,False
Judges,1,28,28,what did Israel do with the Canaanites who dwelt in their land when they  became strong?,put a tribute on them,1,AYMT,5,False,False,False,False,False,False
Judges,1,28,28,what did Israel not do with the Canaanites after they  had become strong?,Completely drive them out,1,AYMT,5,False,False,False,False,False,False
Judges,1,29,29,who did not drive out the Canaanites who dwelt in Gezer?,Ephraim,1,AYMT,5,False,False,False,False,False,False
Judges,1,29,29,who dwelt in Gezer along with the children of Ephraim?,The Canaanites,1,AYMT,5,False,False,False,False,False,False
Judges,1,30,30,who did the tribe of Zebulun not drive out?,"(1) the inhabitants of Kitron, and (2) the inhabitants of Nahalol",2,AYMT,5,True,False,False,False,False,False
Judges,1,30,30,what tribe of Israel failed to drive out the inhabitants of Kitron and Nahalol?,Zebulun,1,AYMT,5,False,False,False,False,False,False
Judges,1,30,30,what 2 things did the tribe of Zebulun do with the Canaanites who dwelt in the land of their inheritance?,"(1) allowed them to dwell among them, and (2) put them under tribute",2,AYMT,5,True,False,False,False,False,False
Judges,1,31,31,who failed to drive out the inhabitants of Acco?,the tribe of Asher,1,AYMT,5,False,False,False,False,False,False
Judges,1,31,31,who did Asher not drive out of the land of their inheritance?,"(1) the inhabitants of Acco, (2) the inhabitants of Sidon, (3) Ahlab, (4) Achzib, (5) Helbah, (6) Aphik, or (7) Rehob",7,AYMT,5,False,True,False,False,False,False
Judges,1,32,32,who were the inhabitants of the land that Asher inherited that they dwelt among?,The Canaanites,1,AYMT,5,False,False,False,False,False,False
Judges,1,33,33,what tribe of Israel did not drive out the inhabitants of Beth Shemish and Beth Anath?,Naphtali,1,AYMT,5,False,False,False,False,False,False
Judges,1,33,33,what inhabitants of the land did the tribe of Naphtali not drive out?,"(1) the inhabitants of Beth Shemesh, or (2) the inhabitants of Beth Anath",2,AYMT,5,True,False,False,False,False,False
Judges,1,33,33,who dwelt among the Canaanites?,Naphtali,1,AYMT,5,False,False,False,False,False,False
Judges,1,33,33,what did Naphtali do to the Canaanites who dwelt in their land?,Put them under tribute,1,AYMT,5,False,False,False,False,False,False
Judges,1,34,34,who forced the children of Dan into the mountains?,the Amorites,1,AYMT,5,False,False,False,False,False,False
Judges,1,34,34,where did the Amorites not allow the children of Dan to come down to?,the valley,1,AYMT,5,False,False,False,False,False,False
Judges,1,35,35,"who was determined to dwell in Mount Heres, in Aijalon and in Shaalbim?",the Amorites,1,AYMT,5,False,False,False,False,False,False
Judges,1,35,35,where were the Amorites determined to dwell?,"(1) Mount Heres, (2) in Aijalon, and (3) in Shaalbim",3,AYMT,5,True,False,False,False,False,False
Judges,1,35,35,what did the house of Joseph do when they became stronger?,Put the Amorites under tribute,1,AYMT,5,False,False,False,False,False,False
Judges,1,36,36,the boundary of the Amorites was where?,"(1) from the Ascent of Akrabbim, (2) from Sela, (3) and upward",3,AYMT,5,True,False,False,False,False,False
Judges,2,1,1,"who said, ""I led you up from Egypt and brought you to the land of which I swore to your fathers?""",the Angel of the Lord,1,AYMT,5,False,False,False,False,False,False
Judges,2,1,1,"where did the Angel of the Lord come up from, and to where?",from Gilgal to Bochim,1,AYMT,5,False,False,False,False,False,False
Judges,2,1,1,what did the Angel of the Lord say the Lord will never do?,break my covenant with you,1,AYMT,5,False,False,False,False,False,False
Judges,2,2,2,what did the Lord say Israel should never do?,make no covenant with the inhabitants of this land,1,AYMT,5,False,False,False,False,False,False
Judges,2,2,2,what did the Lord say Israel should do to the inhabitants of this land?,tear down their altars,1,AYMT,5,False,False,False,False,False,False
Judges,2,3,3,what did the Lord say Israel had not done?,Obeyed My voice,1,AYMT,5,False,False,False,False,False,False
Judges,2,3,3,what question did the Lord ask Israel?,Why have you done this?,1,AYMT,5,False,False,False,False,False,False
Judges,2,3,3,"because Israel did not do as the Lord had asked, what did the Lord say He would not do?",drive them out before you,1,AYMT,5,False,False,False,False,False,False
Judges,2,3,3,"what 2 things did the Lord say the Canaanites and Amorites, who Israel had not driven from their land, would be to the Israelites?","(1) Thorns in your side, (2) Their gods shall be a snare to you",2,AYMT,5,True,False,False,False,False,False
Judges,2,4,4,what was the reaction of the children of Israel to the message given them by the Angel of the Lord?,They lifted up their voices and wept,1,AYMT,5,False,False,False,False,False,False
Judges,2,5,5,what was the name that Israel gave to the place where the Angel of the Lord had spoken to them?,Bochim,1,AYMT,5,False,False,False,False,False,False
Judges,2,5,5,what did Israel do at Bochim?,they sacrified there to the Lord,1,AYMT,5,False,False,False,False,False,False
Judges,2,6,6,"when Joshua dismissed the people, where did the children of Israel go?",each to his own inheritance to possess the land,1,AYMT,5,False,False,False,False,False,False
Judges,2,7,7,"what did the people do all the days of Joshua, and all the days of the elders who outlived Joshua?",Served the Lord,1,AYMT,5,False,False,False,False,False,False
Judges,2,7,7,the people served the Lord all the days of who?,Joshua,1,AYMT,5,False,False,False,False,False,False
